query_label	disposition	disposition_reason	source_gse	discovery_query	passes_filters	filter_reason	title	submission_date	n_samples	organisms	tissue_keywords_found	chemistry_keywords_found	n_unique_tissues	sample_titles	summary	fastq_size_gb_estimated	access_status
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE328221	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2026, n_samples=12	Acute rapamycin treatment reveals novel mechanisms of dysfunction in a maternal inflammation mouse model [scRNA-Seq]	Apr 16 2026	12	Homo sapiens	brain	10X; 10x; Chromium	1	Vehicle Control replicate 1 | Vehicle Control replicate 2 | Vehicle Control replicate 3 | Vehicle Control replicate 4 | Vehicle Control replicate 5	Maternal inflammatory response (MIR) during early gestation in mice induces a cascade of physiological and behavioral changes that have been associated with autism spectrum disorder (ASD). In a prior study and the current one, we find that mild MIR results in chronic systemic and brain inflammation, mTOR pathway activation, mild brain overgrowth followed by regionally specific volumetric changes, sensory processing dysregulation, and social and repetitive behavior abnormalities. Prior studies of	TBD (resolve via SRA)	needs_sra_check
A_human_brain	rejected_after_deepdive	0/4 SRA links — data not deposited in SRA yet	GSE318030	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2026, n_samples=4	Optimized Nuclei Isolation and snRNA-seq Reveal Oligodendrocyte Pathway Dysregulation in MOGHE Brain Tissue from Pediatric Patients.	Jan 29 2026	4	Homo sapiens	brain	10X; 10x; Chromium	1	MOGHE Sample 1 | MOGHE Sample 2 | Control 1 | Control 2	Single-cell RNA sequencing (scRNA-seq) is a powerful tool for exploring cellular diversity, but isolating intact cells from complex tissues like the brain remains challenging. Single-nucleus RNA sequencing (snRNA-seq) overcomes these limitations by profiling nuclear RNA from frozen or archived tissue, reducing dissociation bias. Here, we present a simplified protocol for nuclei isolation from frozen human brain biopsies optimized for high yield and minimal debris, enabling robust snRNA-seq analy	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE281580	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	Human scRNA-seq of three primary and five metastatic breast cancers	Nov 11 2024	8	Homo sapiens		10X; 10x; Chromium	1	BBM7 | BBM8 | BBM9 | BBM10 | BBM13	A key problem in cancer biology is understanding the phenotypic characteristics of the aggressive cell states present in macrometastases and their molecular underpinnings. Here we report on the cellular constituents of human breast cancer metastases,  revealing that these malignant cells are invariably locked in a chimeric cell state. Human BC metastatic cells indeed display a gene-expression profile associated to embryonic development of tubular organs, while also retaining the transcriptional 	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE281490	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	Human scRNA-seq of three breast cancer metastases and three normal mammary glands	Nov 09 2024	6	Homo sapiens		10X; 10x; Chromium	2	BBM0 | BBM5 | BSM1 | hMG1 | hMG2	A key problem in cancer biology is understanding the phenotypic characteristics of the aggressive cell states present in macrometastases and their molecular underpinnings. Here we report on the cellular constituents of human breast cancer metastases,  revealing that these malignant cells are invariably locked in a chimeric cell state. Human BC metastatic cells indeed display a gene-expression profile associated to embryonic development of tubular organs, while also retaining the transcriptional 	TBD (resolve via SRA)	needs_sra_check
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE310824	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=8	Human neuromodulatory assembloids to study serotonin signaling and disease	Nov 20 2025	8	Homo sapiens	brain	10X; 10x; Chromium	1	hMHO_1 | hMHO_2 | hMHO_3 | hMHO_4 | hMHO_5	Neuromodulators influence critical functions of the developing brain and regulate behavioral states. Dysfunction of these systems is often involved in neuropsychiatric disease and many drugs for these conditions act on these signaling pathways. Recent advances in stem cell biology have made it possible to derive a wide range of cells across the developing human nervous system in organoids and to functionally integrate them into assembloids, however they currently do not systematically incorporat	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	organism 'Homo sapiens' not found in samples	GSE316881	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	organism 'Homo sapiens' not found in samples	Charting the transition from in vitro gliogenesis to the in vivo maturation of transplanted human glial progenitor cells	Jan 20 2026	6	Mus musculus	brain		1	WA09_GFP_44471 | WA09_GFP_44480 | WA09_39982 | WA09_40012 | C27_31900	Neither rodent models nor in vitro studies of human cells adequately describe the molecular ontogeny of human glial progenitor cells (hGPCs). Here, we used scRNA-seq together with scATAC-Seq and CUT&TAG assessment of chromatin availability to track the in vitro genesis and in vivo differentiation of hGPCs from pluripotent stem cells (PSCs). In vitro, the hGPC pool comprised 4 transcriptionally distinct subpopulations, each associated with a distinct pattern of chromatin accessibility and histone	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE213213	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	Human pluripotent stem cell–derived A10 dopaminergic neurons specifically integrate into host circuits and relieve depression [scRNA-seq]	Sep 12 2022	2	Homo sapiens		10X; 10x; Chromium	0	a10-protocol-derived TH+ neurons, scRNAseq | a9-protocol-derived TH+ neurons, scRNAseq	Ventral Tegmental Area (VTA) dopaminergic neuron group (A10) one of the important subtype of midbrain dopaminergic (mDA) neurons plays a crucial role in regulation of mainly brain functions and has been related into various psychiatric disorders. Despite the great achievements in generation of mDA neurons from pluripotent stem cells, the subtype-specific mDA differentiation especially A10 group still remains challenging. Here, we report an efficient differentiation paradigm for hPSCs to generate	TBD (resolve via SRA)	needs_sra_check
A_human_brain	filter_failed	no tissue match for ['brain', 'cortex']	GSE293664	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	no	no tissue match for ['brain', 'cortex']	Gene expression profile of control and NGB knockdown human cerebral organoids at day 65.	Apr 02 2025	2	Homo sapiens		10X; 10x; Chromium	0	hCO_control65D | hCO_shNGB65D	We use single cell RNA sequencing (scRNA-seq) to analyze the impact of NGB on early neural development based on cerebral organoids model.	TBD (resolve via SRA)	needs_sra_check
A_human_brain	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE309579	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=6	Integrative Single-Cell RNA and ATAC Sequencing Uncovers Dosage-Sensitive, Cluster-Specific Regulatory Dynamics in Glioblastoma	Sep 29 2025	6	Homo sapiens	brain	10X; 10x	1	GSC20 cells without radiation treatment for scRNA- | GSC20 cells treated with 2Gy radiation for scRNA-s | GSC20 cells treated with 6Gy radiation for scRNA-s | GSC20 cells without radiation treatment for scATAC | GSC20 cells treated with 2Gy radiation for scATAC-	Glioblastoma (GBM) is an aggressive brain tumor that inevitably recurs after radiation therapy, resulting in poor patient outcomes. Given GBM’s cellular heterogeneity, we hypothesized that radiation induces sub-population specific alterations to survive and adapt to radiation stress. We performed integrated single-cell RNA-seq and ATAC-seq analyses across multiple GBM models exposed to clinically relevant radiation doses. Radiation reshaped the cellular landscape, altering both cell type composi	TBD (resolve via SRA)	needs_sra_check
A_human_brain	rejected_after_deepdive	over 50 GB threshold (147 GB total, 102 GB scRNA subset)	GSE302899	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND (brain OR cortex) NOT PBMC NOT blood"	yes	year=2025, n_samples=7	Radiofrequency regulates the BET-mediated pathways in radial glia differentiation in human cortical development	Jul 17 2025	7	Homo sapiens	brain	10X; 10x; Chromium	0	Con_scRNAseq | RF_scRNAseq | RF+Aluminum foil_scRNAseq | RF+Shield_scRNAseq | Control_scATACseq	The human brain represents one of the most complex organs in our body, with development regulated by an intricate genetic program. Recently, non-genetic factors, such as prenatal stress, infection, and diet, have been shown to influence brain development. Radiofrequency radiation (RF; 800-2,400 MHz), emitted by natural and artificial sources such as microwaves and cell phones, represents a non-invasive environmental factor. Using human cortical organoids (hCOs) derived from human embryonic stem 	TBD (resolve via SRA)	needs_sra_check
