pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.609649122807018	0.776536312849162	0.926069850310749	NA	55	ENSG00000039068;ENSG00000128815;ENSG00000125965;ENSG00000165383;ENSG00000162711;ENSG00000170324;ENSG00000067141;ENSG00000163945;ENSG00000183691
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.350109409190372	0.558216400667166	1.04649431668283	NA	53	ENSG00000140600;ENSG00000160188;ENSG00000099994;ENSG00000187726;ENSG00000178217;ENSG00000133665;ENSG00000145491;ENSG00000185737;ENSG00000154165;ENSG00000245848;ENSG00000083642;ENSG00000100218;ENSG00000151224;ENSG00000164675;ENSG00000111834;ENSG00000109320;ENSG00000172426;ENSG00000125845
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.00380459281526285	0.0267407551844882	1.65197812523267	NA	54	ENSG00000164690;ENSG00000143119;ENSG00000010610;ENSG00000115232;ENSG00000160255;ENSG00000204287;ENSG00000005884;ENSG00000138795;ENSG00000242574;ENSG00000165905;ENSG00000085117;ENSG00000204257;ENSG00000156738;ENSG00000177455
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.000469062186389577	0.00570379618649725	-1.84379105377662	NA	32	ENSG00000101400;ENSG00000102683;ENSG00000108823;ENSG00000198947;ENSG00000163069;ENSG00000134769;ENSG00000128591;ENSG00000240654;ENSG00000173402;ENSG00000027001;ENSG00000170624;ENSG00000181092;ENSG00000169783;ENSG00000050748;ENSG00000123096;ENSG00000232977
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.481012658227848	0.670769945418651	0.996579563249433	NA	9	ENSG00000273749;ENSG00000128159;ENSG00000102081
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.0986842105263158	0.239251464715656	1.26808024333508	NA	55	ENSG00000105289;ENSG00000143375;ENSG00000104059;ENSG00000197822;ENSG00000034053;ENSG00000144554;ENSG00000271503
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.20954356846473	0.399793401881085	1.20426494100421	NA	19	ENSG00000144554;ENSG00000271503;ENSG00000285077;ENSG00000010810
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.055045871559633	0.16299297033242	-1.40556556091002	NA	43	ENSG00000156222;ENSG00000198626;ENSG00000136383;ENSG00000186628;ENSG00000152822;ENSG00000135439;ENSG00000064726;ENSG00000103942
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.83047619047619	0.928179271708684	-0.764020415728885	NA	30	ENSG00000198523;ENSG00000171105;ENSG00000178952;ENSG00000168118
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_edgeR	0.471861471861472	0.665127762500251	0.996189058501521	NA	70	ENSG00000197471;ENSG00000064012;ENSG00000102879;ENSG00000185905;ENSG00000162924;ENSG00000198722;ENSG00000013364;ENSG00000119698;ENSG00000275052;ENSG00000147065;ENSG00000109320;ENSG00000154845;ENSG00000174938;ENSG00000102699;ENSG00000108091;ENSG00000149927;ENSG00000100796
